
Nome da imagem            Identifi Servi‡os                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Registry                       104 N/A                                         
smss.exe                       396 N/A                                         
csrss.exe                      540 N/A                                         
wininit.exe                    644 N/A                                         
services.exe                   716 N/A                                         
lsass.exe                      760 EFS, KeyIso, SamSs, VaultSvc                
svchost.exe                    916 PlugPlay                                    
fontdrvhost.exe                944 N/A                                         
svchost.exe                    952 BrokerInfrastructure, DcomLaunch, Power,    
                                   SystemEventsBroker                          
svchost.exe                    496 RpcEptMapper, RpcSs                         
svchost.exe                    640 LSM                                         
svchost.exe                   1140 NcbService                                  
svchost.exe                   1172 TimeBrokerSvc                               
svchost.exe                   1236 Schedule                                    
svchost.exe                   1264 CertPropSvc                                 
svchost.exe                   1292 ProfSvc                                     
svchost.exe                   1328 hidserv                                     
svchost.exe                   1368 EventLog                                    
svchost.exe                   1484 CoreMessagingRegistrar                      
svchost.exe                   1536 UserManager                                 
svchost.exe                   1588 nsi                                         
svchost.exe                   1784 Dhcp                                        
atiesrxx.exe                  1824 AMD External Events Utility                 
svchost.exe                   1924 NlaSvc                                      
svchost.exe                   1988 SysMain                                     
svchost.exe                   1996 Themes                                      
svchost.exe                   2004 EventSystem                                 
svchost.exe                   1808 SEMgrSvc                                    
svchost.exe                   1972 netprofm                                    
Memory Compression            2088 N/A                                         
svchost.exe                   2120 SENS                                        
svchost.exe                   2216 AudioEndpointBuilder                        
svchost.exe                   2224 FontCache                                   
svchost.exe                   2412 Audiosrv                                    
RtkAudioService64.exe         2520 RtkAudioService                             
svchost.exe                   2540 StateRepository                             
svchost.exe                   2576 Dnscache                                    
svchost.exe                   2600 BFE, mpssvc                                 
svchost.exe                   2724 DusmSvc                                     
svchost.exe                   2732 Wcmsvc                                      
svchost.exe                   2808 ShellHWDetection                            
svchost.exe                    804 Winmgmt                                     
svchost.exe                   2184 iphlpsvc                                    
spoolsv.exe                   3084 Spooler                                     
svchost.exe                   3156 LanmanWorkstation                           
jtagserver.exe                3224 JTAGServer                                  
svchost.exe                   3232 CryptSvc                                    
svchost.exe                   3248 DPS                                         
svchost.exe                   3256 LanmanServer                                
svchost.exe                   3280 DiagTrack                                   
pg_ctl.exe                    3388 postgresql-x64-9.6                          
svchost.exe                   3404 SstpSvc                                     
svchost.exe                   3412 stisvc                                      
svchost.exe                   3468 TrkWks                                      
MsMpEng.exe                   3500 WinDefend                                   
svchost.exe                   3516 WpnService                                  
svchost.exe                   3656 TapiSrv                                     
svchost.exe                   3764 WdiServiceHost                              
postgres.exe                  3920 N/A                                         
conhost.exe                   3936 N/A                                         
svchost.exe                   3944 RasMan                                      
postgres.exe                  4156 N/A                                         
NisSrv.exe                    4120 WdNisSvc                                    
svchost.exe                   4224 StorSvc                                     
svchost.exe                   4760 UsoSvc                                      
svchost.exe                   5236 TokenBroker                                 
svchost.exe                   5284 TabletInputService                          
svchost.exe                   5556 CDPSvc                                      
SecurityHealthService.exe     6720 SecurityHealthService                       
svchost.exe                   6996 LicenseManager                              
SearchIndexer.exe             7260 WSearch                                     
svchost.exe                   7352 lfsvc                                       
svchost.exe                   7688 PcaSvc                                      
postgres.exe                  8464 N/A                                         
postgres.exe                  8472 N/A                                         
postgres.exe                  8480 N/A                                         
postgres.exe                  8492 N/A                                         
postgres.exe                  8508 N/A                                         
svchost.exe                   6444 SSDPSRV                                     
SgrmBroker.exe                3968 SgrmBroker                                  
svchost.exe                   5180 wscsvc                                      
svchost.exe                    480 BthAvctpSvc                                 
svchost.exe                   5696 DsSvc                                       
svchost.exe                   4664 W32Time                                     
OSPPSVC.EXE                   6852 osppsvc                                     
svchost.exe                   4648 wcncsvc                                     
svchost.exe                    224 QWAVE                                       
svchost.exe                   8412 WinHttpAutoProxySvc                         
svchost.exe                   6568 DeviceAssociationService                    
svchost.exe                   4412 RmSvc                                       
dasHost.exe                  10024 N/A                                         
dasHost.exe                   4908 N/A                                         
GoogleCrashHandler.exe       11984 N/A                                         
GoogleCrashHandler64.exe      4220 N/A                                         
svchost.exe                   2248 Netman                                      
svchost.exe                    796 AppMgmt                                     
svchost.exe                  12632 SCardSvr                                    
csrss.exe                     7664 N/A                                         
winlogon.exe                  3752 N/A                                         
fontdrvhost.exe               9608 N/A                                         
dwm.exe                       8872 N/A                                         
svchost.exe                   9280 lmhosts                                     
RAVBg64.exe                   7132 N/A                                         
sihost.exe                    7188 N/A                                         
svchost.exe                   4328 CDPUserSvc_6ced6bb                          
svchost.exe                   7444 WpnUserService_6ced6bb                      
taskhostw.exe                 7148 N/A                                         
explorer.exe                 11276 N/A                                         
svchost.exe                   1396 cbdhsvc_6ced6bb                             
ShellExperienceHost.exe       2792 N/A                                         
ctfmon.exe                    8816 N/A                                         
SearchUI.exe                   872 N/A                                         
RuntimeBroker.exe            10384 N/A                                         
RuntimeBroker.exe            10496 N/A                                         
SkypeBackgroundHost.exe       1932 N/A                                         
YourPhone.exe                 4024 N/A                                         
RuntimeBroker.exe             2060 N/A                                         
USBVaccine.exe               11388 N/A                                         
RuntimeBroker.exe             6604 N/A                                         
SecurityHealthSystray.exe     9880 N/A                                         
RtkNGUI64.exe                  936 N/A                                         
OneDrive.exe                  8892 N/A                                         
jusched.exe                   1644 N/A                                         
SkypeApp.exe                  7140 N/A                                         
RuntimeBroker.exe            12160 N/A                                         
ApplicationFrameHost.exe     11708 N/A                                         
Calculator.exe                9588 N/A                                         
chrome.exe                   10284 N/A                                         
chrome.exe                    7068 N/A                                         
chrome.exe                   10228 N/A                                         
chrome.exe                     532 N/A                                         
chrome.exe                   10800 N/A                                         
chrome.exe                   13076 N/A                                         
svchost.exe                   1200 OneSyncSvc_6ced6bb                          
chrome.exe                   11140 N/A                                         
jucheck.exe                   6140 N/A                                         
chrome.exe                    6164 N/A                                         
chrome.exe                    3608 N/A                                         
chrome.exe                    7548 N/A                                         
chrome.exe                    1224 N/A                                         
chrome.exe                    1472 N/A                                         
chrome.exe                   11320 N/A                                         
chrome.exe                    9012 N/A                                         
chrome.exe                    4956 N/A                                         
chrome.exe                    7044 N/A                                         
smartscreen.exe              11376 N/A                                         
cmd.exe                       9932 N/A                                         
conhost.exe                   6432 N/A                                         
chrome.exe                   11868 N/A                                         
chrome.exe                    6732 N/A                                         
chrome.exe                   13244 N/A                                         
chrome.exe                    5312 N/A                                         
chrome.exe                   11132 N/A                                         
chrome.exe                   10428 N/A                                         
chrome.exe                    6752 N/A                                         
chrome.exe                    1684 N/A                                         
chrome.exe                    1544 N/A                                         
chrome.exe                    6648 N/A                                         
dllhost.exe                   2512 N/A                                         
wps.exe                       1512 N/A                                         
WindowsInternal.Composabl     3884 N/A                                         
svchost.exe                   8204 Appinfo                                     
RuntimeBroker.exe             7568 N/A                                         
PaintStudio.View.exe          9496 N/A                                         
svchost.exe                  13236 PrintWorkflowUserSvc_6ced6bb                
chrome.exe                    2440 N/A                                         
wps.exe                      12960 N/A                                         
chrome.exe                    7292 N/A                                         
WmiPrvSE.exe                 12640 N/A                                         
wpscloudsvr.exe               7024 N/A                                         
wpscenter.exe                11712 N/A                                         
svchost.exe                   2080 ClipSVC                                     
tasklist.exe                  4712 N/A                                         
